step;score;epsilon
0;176.0;0.9988699999999926
1;440.0;0.9960949999999744
2;264.0;0.9945199999999641
3;352.0;0.9929149999999536
4;528.0;0.9902899999999364
5;440.0;0.9876199999999189
6;308.0;0.9856099999999057
7;396.0;0.9834449999998915
8;220.0;0.9814349999998784
9;484.0;0.9783499999998582
10;352.0;0.9767199999998475
11;264.0;0.9745649999998334
12;88.0;0.9728949999998224
13;308.0;0.9711599999998111
14;308.0;0.9694549999997999
15;572.0;0.9667549999997822
16;220.0;0.9647499999997691
17;176.0;0.9633049999997596
18;176.0;0.9617399999997494
19;308.0;0.9597749999997365
20;440.0;0.9573149999997204
21;308.0;0.9554599999997082
22;132.0;0.9532149999996935
23;572.0;0.9498249999996713
24;220.0;0.9477399999996576
25;616.0;0.9451149999996404
26;352.0;0.9430149999996267
27;484.0;0.9399699999996067
28;352.0;0.9377549999995922
29;220.0;0.9363149999995828
30;352.0;0.934509999999571
31;220.0;0.9331299999995619
32;440.0;0.9306749999995458
33;176.0;0.9289649999995346
34;528.0;0.926419999999518
35;572.0;0.9238749999995013
36;484.0;0.9210699999994829
37;264.0;0.9192749999994712
38;264.0;0.9175549999994599
39;352.0;0.9155399999994467
40;132.0;0.9138149999994354
41;528.0;0.9111749999994181
42;396.0;0.9089149999994033
43;220.0;0.9067199999993889
44;352.0;0.9038199999993699
45;572.0;0.9011799999993526
46;440.0;0.8987449999993367
47;572.0;0.896054999999319
48;396.0;0.8934149999993017
49;396.0;0.8904749999992825
50;264.0;0.8887549999992712
51;484.0;0.8862399999992547
52;440.0;0.88399499999924
53;440.0;0.8814899999992236
54;308.0;0.8791549999992083
55;396.0;0.8769149999991936
56;396.0;0.8738799999991738
57;352.0;0.8717349999991597
58;264.0;0.8701849999991496
59;308.0;0.868579999999139
60;264.0;0.8667299999991269
61;440.0;0.8645749999991128
62;264.0;0.8620799999990965
63;616.0;0.8592849999990781
64;396.0;0.8566449999990609
65;396.0;0.8540549999990439
66;440.0;0.8525049999990337
67;132.0;0.8508199999990227
68;176.0;0.8492549999990124
69;308.0;0.8476199999990017
70;484.0;0.8456449999989888
71;352.0;0.8425449999989685
72;132.0;0.840479999998955
73;308.0;0.8381549999989397
74;220.0;0.8360849999989262
75;396.0;0.8340199999989126
76;352.0;0.8320149999988995
77;352.0;0.8296749999988842
78;220.0;0.8276249999988707
79;220.0;0.8258199999988589
80;352.0;0.8238249999988458
81;572.0;0.8210149999988274
82;88.0;0.8189749999988141
83;440.0;0.8167549999987995
84;308.0;0.8150699999987885
85;572.0;0.8122699999987701
86;176.0;0.8105449999987588
87;220.0;0.8090249999987489
88;308.0;0.8066699999987335
89;528.0;0.8038849999987152
90;528.0;0.8018849999987021
91;660.0;0.7979349999986762
92;308.0;0.7960499999986639
93;220.0;0.794544999998654
94;484.0;0.7918449999986363
95;264.0;0.7898649999986234
96;440.0;0.7874349999986074
97;176.0;0.7857299999985963
98;220.0;0.783854999998584
99;616.0;0.780809999998564
100;176.0;0.7792999999985541
101;440.0;0.7768599999985382
102;396.0;0.7743299999985216
103;308.0;0.7727899999985115
104;132.0;0.7709399999984994
105;176.0;0.7692299999984882
106;308.0;0.767059999998474
107;352.0;0.7645499999984575
108;440.0;0.7625699999984445
109;88.0;0.7607599999984327
110;484.0;0.758514999998418
111;220.0;0.7568099999984068
112;528.0;0.7544899999983916
113;352.0;0.7526249999983794
114;660.0;0.7494549999983586
115;440.0;0.747069999998343
116;440.0;0.7448299999983283
117;308.0;0.7429049999983157
118;264.0;0.7412449999983048
119;308.0;0.7389249999982896
120;308.0;0.7366199999982745
121;660.0;0.7337549999982558
122;708.0;0.730284999998233
123;484.0;0.7280299999982183
124;352.0;0.7251649999981995
125;440.0;0.7229749999981852
126;528.0;0.7203149999981677
127;88.0;0.7188699999981583
128;264.0;0.7174799999981492
129;616.0;0.7149549999981326
130;484.0;0.7120799999981138
131;264.0;0.7100599999981005
132;220.0;0.7079199999980865
133;176.0;0.7058399999980729
134;484.0;0.7036449999980585
135;352.0;0.7014949999980444
136;396.0;0.6992649999980298
137;660.0;0.6957349999980067
138;396.0;0.6932949999979907
139;220.0;0.6917699999979807
140;264.0;0.6900449999979694
141;308.0;0.6883949999979586
142;308.0;0.6858299999979418
143;660.0;0.6819099999979161
144;572.0;0.679294999997899
145;660.0;0.6763499999978797
146;220.0;0.6746149999978683
147;264.0;0.6731099999978585
148;484.0;0.6695699999978353
149;264.0;0.6676649999978228
150;440.0;0.6657649999978104
151;264.0;0.6636849999977967
152;132.0;0.6621699999977868
153;396.0;0.6605349999977761
154;396.0;0.6576049999977569
155;484.0;0.6555849999977437
156;528.0;0.6526899999977247
157;352.0;0.6504599999977101
158;484.0;0.6482299999976955
159;176.0;0.646479999997684
160;440.0;0.6440999999976684
161;352.0;0.6423449999976569
162;132.0;0.6407099999976462
163;88.0;0.6391349999976359
164;220.0;0.6376049999976259
165;572.0;0.6349149999976083
166;308.0;0.6330699999975962
167;756.0;0.6301649999975771
168;396.0;0.6283999999975656
169;264.0;0.6268249999975553
170;220.0;0.6245149999975401
171;352.0;0.6216099999975211
172;484.0;0.6188949999975033
173;660.0;0.6157699999974828
174;176.0;0.6141049999974719
175;264.0;0.6123949999974607
176;440.0;0.6103099999974471
177;220.0;0.6088899999974378
178;572.0;0.6066249999974229
179;572.0;0.6041199999974065
180;352.0;0.6020299999973928
181;440.0;0.5996449999973772
182;396.0;0.5974149999973626
183;572.0;0.5944849999973434
184;352.0;0.5924199999973299
185;308.0;0.5904299999973168
186;660.0;0.5871549999972954
187;396.0;0.5845699999972784
188;396.0;0.5827699999972666
189;264.0;0.5811049999972557
190;264.0;0.5794399999972448
191;396.0;0.5770349999972291
192;440.0;0.5747549999972141
193;308.0;0.5726249999972002
194;484.0;0.5700749999971835
195;220.0;0.5682899999971718
196;308.0;0.5666199999971608
197;484.0;0.5646349999971478
198;264.0;0.562829999997136
199;484.0;0.5604349999971203
200;528.0;0.5583449999971066
201;220.0;0.5564699999970943
202;132.0;0.5547749999970832
203;440.0;0.5525049999970684
204;352.0;0.5503649999970543
205;308.0;0.54817999999704
206;616.0;0.5458699999970249
207;264.0;0.5440199999970128
208;176.0;0.5421699999970007
209;484.0;0.5401849999969877
210;220.0;0.5382699999969751
211;484.0;0.5361949999969615
212;308.0;0.5345499999969507
213;264.0;0.5314549999969305
214;396.0;0.5289999999969144
215;708.0;0.525584999996892
216;176.0;0.5237799999968802
217;308.0;0.521924999996868
218;88.0;0.5202499999968571
219;708.0;0.5167799999968343
220;660.0;0.5144849999968193
221;308.0;0.5128949999968089
222;572.0;0.5106099999967939
223;220.0;0.5088699999967825
224;440.0;0.5061049999967644
225;308.0;0.5043249999967527
226;220.0;0.502539999996741
227;440.0;0.5002249999967259
228;308.0;0.4985399999967311
229;352.0;0.49690499999673854
230;528.0;0.4942349999967507
231;132.0;0.49256999999675827
232;528.0;0.4901649999967692
233;308.0;0.48791999999677943
234;440.0;0.48560999999678994
235;264.0;0.4837949999967982
236;264.0;0.4816149999968081
237;352.0;0.4797049999968168
238;264.0;0.4780649999968243
239;708.0;0.47472999999683946
240;176.0;0.4725649999968493
241;176.0;0.4712499999968553
242;176.0;0.46937499999686383
243;176.0;0.46791999999687045
244;396.0;0.46563499999688085
245;484.0;0.4631349999968922
246;220.0;0.46121499999690097
247;220.0;0.45910499999691057
248;176.0;0.45737499999691844
249;352.0;0.4553899999969275
250;484.0;0.45314999999693767
251;484.0;0.4506199999969492
252;264.0;0.4489649999969567
253;264.0;0.44704499999696545
254;660.0;0.4440449999969791
255;396.0;0.44143999999699096
256;308.0;0.4394749999969999
257;572.0;0.4362049999970148
258;440.0;0.4343349999970233
259;308.0;0.4326249999970311
260;308.0;0.4310849999970381
261;220.0;0.4288799999970481
262;352.0;0.4269749999970568
263;396.0;0.4248249999970666
264;132.0;0.42280999999707575
265;264.0;0.42122499999708296
266;440.0;0.4190599999970928
267;176.0;0.4171499999971015
268;264.0;0.4155299999971089
269;484.0;0.4133699999971187
270;528.0;0.4111499999971288
271;220.0;0.4085099999971408
272;660.0;0.40558499999715414
273;308.0;0.40406999999716103
274;220.0;0.4024049999971686
275;616.0;0.3995999999971814
276;484.0;0.39710499999719273
277;308.0;0.3951399999972017
278;308.0;0.39285999999721205
279;44.0;0.39133999999721897
280;396.0;0.38868999999723103
281;440.0;0.38635499999724165
282;264.0;0.3843849999972506
283;660.0;0.3815099999972637
284;660.0;0.3781049999972792
285;484.0;0.375954999997289
286;308.0;0.3742549999972967
287;528.0;0.3720799999973066
288;176.0;0.37042999999731413
289;572.0;0.3676899999973266
290;264.0;0.36556999999733625
291;352.0;0.36376999999734444
292;220.0;0.36229499999735115
293;440.0;0.36000999999736155
294;264.0;0.3581349999973701
295;264.0;0.3563549999973782
296;308.0;0.35427499999738765
297;308.0;0.3521999999973971
298;308.0;0.3502849999974058
299;176.0;0.34873499999741286
300;352.0;0.34578999999742627
301;708.0;0.34269499999744035
302;264.0;0.3409249999974484
303;440.0;0.3379599999974619
304;308.0;0.33583999999747155
